locus_tag	ftype	length_bp	gene	EC_number	COG	product
BNEGNLPN_01393	CDS	1647	groL			60 kDa chaperonin
BNEGNLPN_01394	CDS	294	groS		COG0234	10 kDa chaperonin
BNEGNLPN_01395	CDS	1251	yjeH		COG0531	L-methionine/branched-chain amino acid exporter YjeH
BNEGNLPN_01396	CDS	477				hypothetical protein
BNEGNLPN_01397	CDS	1437	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
BNEGNLPN_01398	CDS	1302	dcuA		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
BNEGNLPN_01399	CDS	324	cutA		COG1324	Divalent-cation tolerance protein CutA
BNEGNLPN_01400	CDS	1797	dsbD_1	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
BNEGNLPN_01401	CDS	591				hypothetical protein
BNEGNLPN_01402	CDS	2088				hypothetical protein
BNEGNLPN_01403	tRNA	76				tRNA-Phe(gaa)
BNEGNLPN_01404	CDS	1263	intS_1		COG0582	Prophage integrase IntS
BNEGNLPN_01405	CDS	264				hypothetical protein
BNEGNLPN_01406	CDS	519				hypothetical protein
BNEGNLPN_01407	CDS	183				hypothetical protein
BNEGNLPN_01408	CDS	2850	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
BNEGNLPN_01409	CDS	981	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
BNEGNLPN_01410	CDS	2313				hypothetical protein
BNEGNLPN_01411	CDS	1629				hypothetical protein
BNEGNLPN_01412	CDS	2871				hypothetical protein
BNEGNLPN_01413	CDS	1152			COG2826	IS30 family transposase IS30
BNEGNLPN_01414	rRNA	83				5S ribosomal RNA (partial)
BNEGNLPN_01415	tRNA	76				tRNA-Thr(ggt)
BNEGNLPN_01416	rRNA	110				5S ribosomal RNA
BNEGNLPN_01417	CDS	222				hypothetical protein
BNEGNLPN_01418	CDS	3111	acrF_1		COG0841	Multidrug export protein AcrF
BNEGNLPN_01419	CDS	1140	acrE			Multidrug export protein AcrE
BNEGNLPN_01420	CDS	651	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
BNEGNLPN_01421	CDS	297	fis		COG2901	DNA-binding protein Fis
BNEGNLPN_01422	CDS	966	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
BNEGNLPN_01423	CDS	882	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
BNEGNLPN_01424	CDS	1452	panF		COG4145	Sodium/pantothenate symporter
BNEGNLPN_01425	CDS	243	yhdT		COG3924	putative membrane protein YhdT
BNEGNLPN_01426	CDS	1350	accC	6.3.4.14	COG0439	Biotin carboxylase
BNEGNLPN_01427	CDS	468	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
BNEGNLPN_01428	CDS	453	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
BNEGNLPN_01429	CDS	609	msrQ		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
BNEGNLPN_01430	CDS	1002	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
BNEGNLPN_01431	CDS	1941	csrD			RNase E specificity factor CsrD
BNEGNLPN_01432	CDS	1044	mreB		COG1077	Cell shape-determining protein MreB
BNEGNLPN_01433	CDS	993	mreC		COG1792	Cell shape-determining protein MreC
BNEGNLPN_01434	CDS	489	mreD		COG2891	Rod shape-determining protein MreD
BNEGNLPN_01435	CDS	582	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
BNEGNLPN_01436	CDS	1470	rng	3.1.26.-	COG1530	Ribonuclease G
BNEGNLPN_01437	CDS	3798				hypothetical protein
BNEGNLPN_01438	CDS	1446	tldD	3.4.-.-	COG0312	Metalloprotease TldD
BNEGNLPN_01439	CDS	930	dmlR_3			HTH-type transcriptional regulator DmlR
BNEGNLPN_01440	CDS	204	aaeX			Protein AaeX
BNEGNLPN_01441	CDS	933	aaeA_1		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
BNEGNLPN_01442	CDS	1968	aaeB_1		COG1289	p-hydroxybenzoic acid efflux pump subunit AaeB
BNEGNLPN_01443	CDS	276	yhcO		COG2732	putative protein YhcO
BNEGNLPN_01444	CDS	267				hypothetical protein
BNEGNLPN_01445	CDS	264				hypothetical protein
BNEGNLPN_01446	CDS	471	argR		COG1438	Arginine repressor
BNEGNLPN_01447	CDS	939	mdh_2	1.1.1.37	COG0039	Malate dehydrogenase
BNEGNLPN_01448	CDS	630				hypothetical protein
BNEGNLPN_01449	CDS	666				hypothetical protein
BNEGNLPN_01450	CDS	1269	sdcS			Sodium-dependent dicarboxylate transporter SdcS
BNEGNLPN_01451	CDS	900	ttdA	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
BNEGNLPN_01452	CDS	618	ttdB	4.2.1.32	COG1838	L(+)-tartrate dehydratase subunit beta
BNEGNLPN_01453	CDS	252	oadG	7.2.4.2	COG3630	Oxaloacetate decarboxylase gamma chain
BNEGNLPN_01454	CDS	1785	oadA	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
BNEGNLPN_01455	CDS	1302	oadB	7.2.4.2	COG1883	Oxaloacetate decarboxylase beta chain
BNEGNLPN_01456	CDS	711	citG_1	2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
BNEGNLPN_01457	CDS	1059	degS	3.4.21.107	COG0265	Serine endoprotease DegS
BNEGNLPN_01458	CDS	1368	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
BNEGNLPN_01459	CDS	399	yhcB		COG3105	Inner membrane protein YhcB
BNEGNLPN_01460	CDS	1128	zapE_1		COG1485	Cell division protein ZapE
BNEGNLPN_01461	CDS	429	rplM		COG0102	50S ribosomal protein L13
BNEGNLPN_01462	CDS	393	rpsI		COG0103	30S ribosomal protein S9
BNEGNLPN_01463	CDS	639	sspA		COG0625	Stringent starvation protein A
BNEGNLPN_01464	CDS	495	sspB		COG2969	Stringent starvation protein B
BNEGNLPN_01465	CDS	705	nanE	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
BNEGNLPN_01466	CDS	1419	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
BNEGNLPN_01467	CDS	4461	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
BNEGNLPN_01468	CDS	933				hypothetical protein
BNEGNLPN_01469	CDS	1284	exuT_2			Hexuronate transporter
BNEGNLPN_01470	CDS	1017	rspB	1.1.1.-	COG1063	Starvation-sensing protein RspB
BNEGNLPN_01471	CDS	1065	uxuA_2	4.2.1.8	COG1312	Mannonate dehydratase
BNEGNLPN_01472	CDS	2340	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
BNEGNLPN_01473	CDS	654	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
BNEGNLPN_01474	CDS	726	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
BNEGNLPN_01475	CDS	273	ptsO		COG1925	Phosphocarrier protein NPr
BNEGNLPN_01476	CDS	855	rapZ		COG1660	RNase adapter protein RapZ
BNEGNLPN_01477	CDS	489	ptsN		COG1762	Nitrogen regulatory protein
BNEGNLPN_01478	CDS	288	hpf		COG1544	Ribosome hibernation promoting factor
BNEGNLPN_01479	CDS	1434	rpoN		COG1508	RNA polymerase sigma-54 factor
BNEGNLPN_01480	CDS	726	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
BNEGNLPN_01481	CDS	546	lptA		COG1934	Lipopolysaccharide export system protein LptA
BNEGNLPN_01482	CDS	576	lptC		COG3117	Lipopolysaccharide export system protein LptC
BNEGNLPN_01483	CDS	567	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
BNEGNLPN_01484	CDS	1005	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
BNEGNLPN_01485	CDS	978	yrbG		COG0530	Inner membrane protein YrbG
BNEGNLPN_01486	CDS	813	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
BNEGNLPN_01487	CDS	783	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
BNEGNLPN_01488	CDS	552	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
BNEGNLPN_01489	CDS	636	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
BNEGNLPN_01490	CDS	288	mlaB		COG3113	Intermembrane phospholipid transport system binding protein MlaB
BNEGNLPN_01491	CDS	255	ibaG		COG5007	Acid stress protein IbaG
BNEGNLPN_01492	CDS	1260	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
BNEGNLPN_01493	CDS	273				hypothetical protein
BNEGNLPN_01494	CDS	972	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
BNEGNLPN_01495	CDS	312	rplU		COG0261	50S ribosomal protein L21
BNEGNLPN_01496	CDS	258	rpmA		COG0211	50S ribosomal protein L27
BNEGNLPN_01497	CDS	966	yhbE		COG0697	putative inner membrane transporter YhbE
BNEGNLPN_01498	CDS	1179	obgE	3.6.5.-	COG0536	GTPase ObgE/CgtA
BNEGNLPN_01499	CDS	1434	dacB	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacB
BNEGNLPN_01500	CDS	477	greA		COG0782	Transcription elongation factor GreA
BNEGNLPN_01501	CDS	333	yhbY		COG1534	RNA-binding protein YhbY
BNEGNLPN_01502	CDS	630	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
BNEGNLPN_01503	CDS	1944	ftsH_2	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
BNEGNLPN_01504	CDS	849	folP_1	2.5.1.15	COG0294	Dihydropteroate synthase
BNEGNLPN_01505	CDS	1338	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
BNEGNLPN_01506	CDS	330	secG		COG1314	Protein-export membrane protein SecG
BNEGNLPN_01507	tRNA	87				tRNA-Leu(gag)
BNEGNLPN_01508	CDS	402				hypothetical protein
BNEGNLPN_01509	CDS	552				hypothetical protein
BNEGNLPN_01510	CDS	630	iprA_1			Inhibitor of hydrogen peroxide resistance
BNEGNLPN_01511	CDS	1344	argG	6.3.4.5	COG0137	Argininosuccinate synthase
BNEGNLPN_01512	tRNA	77				tRNA-Met(cat)
BNEGNLPN_01513	CDS	423	rimP		COG0779	Ribosome maturation factor RimP
BNEGNLPN_01514	CDS	1488	nusA		COG0195	Transcription termination/antitermination protein NusA
BNEGNLPN_01515	CDS	2691	infB		COG0532	Translation initiation factor IF-2
BNEGNLPN_01516	CDS	402	rbfA		COG0858	30S ribosome-binding factor
BNEGNLPN_01517	CDS	945	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
BNEGNLPN_01518	CDS	270	rpsO		COG0184	30S ribosomal protein S15
BNEGNLPN_01519	CDS	2136	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
BNEGNLPN_01520	CDS	885	nlpI		COG4785	Lipoprotein NlpI
BNEGNLPN_01521	CDS	1932	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
BNEGNLPN_01522	CDS	1245	mtr		COG0814	Tryptophan-specific transport protein
BNEGNLPN_01523	CDS	1008				hypothetical protein
BNEGNLPN_01524	CDS	879				hypothetical protein
BNEGNLPN_01525	CDS	996	yhbU	3.4.-.-	COG0826	putative protease YhbU
BNEGNLPN_01526	CDS	1152			COG2826	IS30 family transposase IS30
BNEGNLPN_01527	CDS	567	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
BNEGNLPN_01528	CDS	1032	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
BNEGNLPN_01529	CDS	654	metI_1		COG2011	D-methionine transport system permease protein MetI
BNEGNLPN_01530	CDS	816	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
BNEGNLPN_01531	CDS	408	rcsF			Outer membrane lipoprotein RcsF
BNEGNLPN_01532	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
BNEGNLPN_01533	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
BNEGNLPN_01534	CDS	843				hypothetical protein
BNEGNLPN_01535	CDS	699	nlpE		COG3015	Lipoprotein NlpE
BNEGNLPN_01536	CDS	414	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
BNEGNLPN_01537	CDS	546	yaeQ		COG4681	putative protein YaeQ
BNEGNLPN_01538	CDS	201				hypothetical protein
BNEGNLPN_01539	CDS	261	rof		COG4568	Protein rof
BNEGNLPN_01540	CDS	1314	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
BNEGNLPN_01541	CDS	390				hypothetical protein
BNEGNLPN_01542	CDS	2190	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
BNEGNLPN_01543	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
BNEGNLPN_01544	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
BNEGNLPN_01545	CDS	600	rnhB	3.1.26.4	COG0164	Ribonuclease HII
BNEGNLPN_01546	CDS	1152	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
BNEGNLPN_01547	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
BNEGNLPN_01548	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
BNEGNLPN_01549	CDS	1026	lpxD_2	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
BNEGNLPN_01550	CDS	486	skp		COG2825	Chaperone protein Skp
BNEGNLPN_01551	CDS	2430	bamA_2		COG4775	Outer membrane protein assembly factor BamA
BNEGNLPN_01552	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
BNEGNLPN_01553	CDS	783	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
BNEGNLPN_01554	CDS	762	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
BNEGNLPN_01555	CDS	1203	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
BNEGNLPN_01556	CDS	558	frr		COG0233	Ribosome-recycling factor
BNEGNLPN_01557	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
BNEGNLPN_01558	CDS	852	tsf		COG0264	Elongation factor Ts
BNEGNLPN_01559	CDS	726	rpsB		COG0052	30S ribosomal protein S2
BNEGNLPN_01560	CDS	795	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
BNEGNLPN_01561	CDS	2664	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
BNEGNLPN_01562	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
BNEGNLPN_01563	CDS	387				hypothetical protein
BNEGNLPN_01564	CDS	1212	cdaR_1		COG3835	Carbohydrate diacid regulator
BNEGNLPN_01565	CDS	1434	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
BNEGNLPN_01566	CDS	1515	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
BNEGNLPN_01567	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
BNEGNLPN_01568	CDS	801	btuF_1		COG0614	Vitamin B12-binding protein
BNEGNLPN_01569	CDS	624				hypothetical protein
BNEGNLPN_01570	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
BNEGNLPN_01571	CDS	1512	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
BNEGNLPN_01572	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
BNEGNLPN_01573	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
BNEGNLPN_01574	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
BNEGNLPN_01575	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
BNEGNLPN_01576	CDS	2208	fhuA_2		COG1629	Ferrichrome outer membrane transporter/phage receptor
BNEGNLPN_01577	CDS	2553	mrcB		COG0744	Penicillin-binding protein 1B
BNEGNLPN_01578	CDS	558				hypothetical protein
BNEGNLPN_01579	CDS	3309	pulA	3.2.1.41		Pullulanase
BNEGNLPN_01580	CDS	843	outC		COG3031	Type II secretion system protein C
BNEGNLPN_01581	CDS	1956	pulD			Secretin PulD
BNEGNLPN_01582	CDS	1494	epsE_1		COG2804	Type II secretion system protein E
BNEGNLPN_01583	CDS	1215	epsF_1		COG1459	Type II secretion system protein F
BNEGNLPN_01584	CDS	423	pulG			Type II secretion system protein G
BNEGNLPN_01585	CDS	309	gspH		COG2165	Putative type II secretion system protein H
BNEGNLPN_01586	CDS	366				hypothetical protein
BNEGNLPN_01587	CDS	597	xcpW		COG4795	Type II secretion system protein J
BNEGNLPN_01588	CDS	987	gspK		COG3156	Putative type II secretion system protein K
BNEGNLPN_01589	CDS	1164	epsL		COG3297	Type II secretion system protein L
BNEGNLPN_01590	CDS	486	epsM		COG3149	Type II secretion system protein M
BNEGNLPN_01591	CDS	747	outN			Type II secretion system protein N
BNEGNLPN_01592	CDS	801	outO			Type 4 prepilin-like proteins leader peptide-processing enzyme
BNEGNLPN_01593	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
BNEGNLPN_01594	CDS	537	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
BNEGNLPN_01595	CDS	717	sfsA		COG1489	Sugar fermentation stimulation protein A
BNEGNLPN_01596	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
BNEGNLPN_01597	CDS	882	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
BNEGNLPN_01598	CDS	1362	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
BNEGNLPN_01599	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
BNEGNLPN_01600	CDS	792	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
BNEGNLPN_01601	CDS	855	panC	6.3.2.1	COG0414	Pantothenate synthetase
BNEGNLPN_01602	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
BNEGNLPN_01603	CDS	1254				hypothetical protein
BNEGNLPN_01604	CDS	441				hypothetical protein
BNEGNLPN_01605	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
BNEGNLPN_01606	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
BNEGNLPN_01607	CDS	663	can_2	4.2.1.1	COG0288	Carbonic anhydrase 2
BNEGNLPN_01608	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
BNEGNLPN_01609	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
BNEGNLPN_01610	CDS	1599	cueO		COG2132	Blue copper oxidase CueO
BNEGNLPN_01611	CDS	360				hypothetical protein
BNEGNLPN_01612	CDS	411				hypothetical protein
BNEGNLPN_01613	CDS	1860				hypothetical protein
BNEGNLPN_01614	CDS	861	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
BNEGNLPN_01615	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
BNEGNLPN_01616	CDS	363				hypothetical protein
BNEGNLPN_01617	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
BNEGNLPN_01618	CDS	1608				hypothetical protein
BNEGNLPN_01619	CDS	807				hypothetical protein
BNEGNLPN_01620	CDS	285				hypothetical protein
BNEGNLPN_01621	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
BNEGNLPN_01622	CDS	1899	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
BNEGNLPN_01623	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
BNEGNLPN_01624	CDS	780	pdhR		COG2186	Pyruvate dehydrogenase complex repressor
BNEGNLPN_01625	CDS	1371	aroP_1		COG1113	Aromatic amino acid transport protein AroP
BNEGNLPN_01626	CDS	1053	yicJ_1		COG2211	Inner membrane symporter YicJ
BNEGNLPN_01627	CDS	264				hypothetical protein
BNEGNLPN_01628	CDS	951		3.2.1.55	COG3940	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase
BNEGNLPN_01629	CDS	855	ampE		COG3725	Protein AmpE
BNEGNLPN_01630	CDS	564	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
BNEGNLPN_01631	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
BNEGNLPN_01632	CDS	432				hypothetical protein
BNEGNLPN_01633	CDS	1386	epsE_2		COG2804	Type II secretion system protein E
BNEGNLPN_01634	CDS	1206	epsF_2		COG1459	Type II secretion system protein F
BNEGNLPN_01635	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
BNEGNLPN_01636	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
BNEGNLPN_01637	CDS	744	zapD		COG4582	Cell division protein ZapD
BNEGNLPN_01638	CDS	195	yacG		COG3024	DNA gyrase inhibitor YacG
BNEGNLPN_01639	CDS	393	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
BNEGNLPN_01640	CDS	2706	secA		COG0653	Protein translocase subunit SecA
BNEGNLPN_01641	CDS	498	secM			Secretion monitor
BNEGNLPN_01642	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
BNEGNLPN_01643	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
BNEGNLPN_01644	CDS	1263	ftsA_2		COG0849	Cell division protein FtsA
BNEGNLPN_01645	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
BNEGNLPN_01646	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
BNEGNLPN_01647	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
BNEGNLPN_01648	CDS	1047	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
BNEGNLPN_01649	CDS	1275	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
BNEGNLPN_01650	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
BNEGNLPN_01651	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
BNEGNLPN_01652	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
BNEGNLPN_01653	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
BNEGNLPN_01654	CDS	1767	ftsI_2	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
BNEGNLPN_01655	CDS	366	ftsL		COG3116	Cell division protein FtsL
BNEGNLPN_01656	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
BNEGNLPN_01657	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
BNEGNLPN_01658	CDS	1005	cra_1		COG1609	Catabolite repressor/activator
BNEGNLPN_01659	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
BNEGNLPN_01660	CDS	1725	ilvI_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
BNEGNLPN_01661	CDS	951	leuO			HTH-type transcriptional regulator LeuO
BNEGNLPN_01662	CDS	1572	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
BNEGNLPN_01663	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
BNEGNLPN_01664	CDS	1401	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
BNEGNLPN_01665	CDS	606	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
BNEGNLPN_01666	CDS	2034		1.-.-.-		NADH oxidase
BNEGNLPN_01667	CDS	864	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
BNEGNLPN_01668	CDS	1215	ydiM			Inner membrane transport protein YdiM
BNEGNLPN_01669	CDS	756	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
BNEGNLPN_01670	CDS	897	gltC_1			HTH-type transcriptional regulator GltC
BNEGNLPN_01671	CDS	1311	gudP_1			putative glucarate transporter
BNEGNLPN_01672	CDS	1185	setA			Sugar efflux transporter A
BNEGNLPN_01673	CDS	153				hypothetical protein
BNEGNLPN_01674	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
BNEGNLPN_01675	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
BNEGNLPN_01676	CDS	1611				hypothetical protein
BNEGNLPN_01677	CDS	702	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
BNEGNLPN_01678	CDS	768	yabI_1		COG0586	Inner membrane protein YabI
BNEGNLPN_01679	CDS	846	araC_2			Arabinose operon regulatory protein
BNEGNLPN_01680	CDS	1710	araB_2	2.7.1.16	COG1069	Ribulokinase
BNEGNLPN_01681	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
BNEGNLPN_01682	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
BNEGNLPN_01683	CDS	2358	polB	2.7.7.7	COG0417	DNA polymerase II
BNEGNLPN_01684	CDS	2907	rapA_2	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
BNEGNLPN_01685	CDS	660	rluA_2	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
BNEGNLPN_01686	CDS	540	citX	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
BNEGNLPN_01687	CDS	1365	cimH		COG3493	Citrate/malate transporter
BNEGNLPN_01688	CDS	1626	citA	2.7.13.3	COG3290	Sensor histidine kinase CitA
BNEGNLPN_01689	CDS	699	citB		COG4565	Transcriptional regulatory protein CitB
BNEGNLPN_01690	CDS	828	djlA		COG1076	Co-chaperone protein DjlA
BNEGNLPN_01691	CDS	2349	lptD		COG1452	LPS-assembly protein LptD
BNEGNLPN_01692	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
BNEGNLPN_01693	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
BNEGNLPN_01694	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
BNEGNLPN_01695	CDS	378	apaG		COG2967	Protein ApaG
BNEGNLPN_01696	CDS	849	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
BNEGNLPN_01697	CDS	480				IS1595 family transposase ISSsu9
